entity-alpha-sort,wikidata-label,entity-type,wikidata-uri,loc-id,musicbrainz-id,snac-ark-id,wikidata-id,in-lj-dataset
Melodic Art-Tet,Melodic Art-Tet,Music Group,https://www.wikidata.org/entity/Q65548767,,,,Q65548767,
"Redding, Otis",Otis Redding,Person,https://www.wikidata.org/entity/Q217839,nr89011547,82b1f5fd-cd31-41a9-b5d4-7e33f0eb9751,w60k3r6m,Q217839,
"Davis, Miles",Miles Davis,Person,https://www.wikidata.org/entity/Q93341,n50035608,561d854a-6a28-4aa7-8c99-323e6ce46c2a,w68k7wq0,Q93341,Yes
"Adderley, Julian Edwin ""Cannonball""",Cannonball Adderley,Person,https://www.wikidata.org/entity/Q110477,n84163049,a4c73ebe-b2c7-4f13-b99d-2fe1f9f27da8,w65q52jh,Q110477,Yes
"Coltrane, J.",John Coltrane,Person,https://www.wikidata.org/entity/Q7346,n50031907,b625448e-bf4a-41c3-a421-72ad46cdb831,w6x92hns,Q7346,Yes
"James, Etta",Etta James,Person,https://www.wikidata.org/entity/Q182725,n91126034,e22d2f66-881e-41ca-9356-544697ee5f90,w6nk4wv2,Q182725,Yes
"Roach, Max",Max Roach,Person,https://www.wikidata.org/entity/Q175899,n81072981,0b6aea55-d855-4a33-ae08-b0280dd28684,w67q0fff,Q175899,Yes
"Davis, ""Wild"" Bill",Wild Bill Davis,Person,https://www.wikidata.org/entity/Q2570294,n82078550,6b4a5233-1989-4f11-b1b3-78143e0db45d,w64t7559,Q2570294,Yes
"Hubbard, Freddie",Freddie Hubbard,Person,https://www.wikidata.org/entity/Q346762,n83163529,59ae7a1a-f454-435b-8a5a-e327e692bb5a,w6n13jhj,Q346762,Yes
"Ra, Sun",Sun Ra,Person,https://www.wikidata.org/entity/Q354508,n88607003,c27cac8e-4c4a-48c0-a4ba-41399b9c176d,w6kd58mh,Q354508,Yes
"Stitt, Sonny",Sonny Stitt,Person,https://www.wikidata.org/entity/Q502311,n84132593,d7828cdd-7d63-49c0-b09b-cf3df7ecaf80,w6br8zgd,Q502311,Yes
"Muse, The",The Muse,Venue,https://www.wikidata.org/entity/Q65548898,,,,Q65548898,
One for Trane,One for Trane,Music Group,https://www.wikidata.org/entity/Q65548768,,,,Q65548768,
"Baker, Paxton",Paxton Baker,Person,https://www.wikidata.org/entity/Q7156518,,,,Q7156518,
